Roll No,Name of Student,Father Name,Mobile Number,Parent Number,Category,Blood Group,State,Address,Pincode
27BCS0031,"Ericka Berge","Raul Jacobs",9317223802,9282882346,GEN,O+,"Alaska","74588 Ernser Points",080777
27BCS0032,"Bulah Larson","Camilla Gulgowski Jr.",9648628939,9031199091,EWS,AB-,"Maine","39619 Bechtelar Land",568710
27BCS0033,"Alessandro Batz","Mr. Shaun Klein",9212523851,9700462159,GEN,O+,"New York","9381 Turner Shores",663643
27BCS0034,"Mr. Kirstin Rowe","Eleanora Dicki",9590596378,9936347807,GEN,O-,"Vermont","395 Rogahn Ferry",281971
27BCS0035,"Constantin Tremblay","Leonard Corwin",9591370565,9584557144,EWS,AB-,"Utah","93986 East Avenue",116401
27BCS0036,"Mr. Warren Hauck","Mr. Macie Moore",9384676470,9267083736,GEN,A-,"Maryland","9345 Zula Rue",549212
27BCS0037,"Jeremy Schmeler","Mittie Abshire",9308939643,9293563747,EWS,A+,"New Hampshire","1259 Sanford Glens",827874
27BCS0038,"Kole Ondricka","Izaiah Wolf",9274375702,9861987100,GEN,A-,"South Dakota","9080 Elvira Club",423843
27BCS0039,"Jim Streich","Mr. Camilla O'Hara V",9520456121,9506642616,OBC,AB-,"Nevada","86050 E Market Street",850681
27BCS0040,"Ann Shields","Warren Jacobi",9161387915,9359804872,EWS,A-,"Iowa","769 Waterside",975954
27BCS0041,"Mr. Colin Rempel","Clarence Hermiston",9300990915,9088996418,OBC,O+,"Massachusetts","47327 W State Street",156406
27BCS0042,"Dallas Dickens","Mr. Furman Nolan",9901495631,9659406607,EWS,AB-,"Iowa","613 Tennyson Road",840877
27BCS0043,"Mrs. Mandy West Sr.","Charity Nitzsche",9388809565,9145955461,EWS,A-,"Colorado","9295 Brock Turnpike",731707
27BCS0044,"Ms. Leigh Kulas Jr.","Neoma Lowe",9743011031,9777167585,SC,O-,"Tennessee","850 Lila Ford",088205
27BCS0045,"Mr. Dwayne Hansen DVM","Clifford Heller",9663206133,9709688195,ST,AB+,"Ohio","97729 Justyn View",099098
27BCS0046,"Kieran Beier","Dessie Cronin",9214820231,9355938134,OBC,O+,"Kentucky","347 Frami Squares",456872
27BCS0047,"Krystal Dickens","Jeff Cremin",9221928965,9947900566,GEN,O+,"Wisconsin","86745 Collier Ramp",997155
27BCS0048,"Hattie Bruen III","Clifford Jenkins",9323630522,9401596523,EWS,B-,"Virginia","350 16th Street",207419
27BCS0049,"Mia Johns","Frederick Steuber",9109913158,9068390648,EWS,B-,"Nebraska","8490 Windmill Lane",876122
27BCS0050,"Arvel Medhurst","Nicholas Bruen II",9888643238,9445691918,GEN,O+,"Oklahoma","114 Auer Plains",689297
27BCS0051,"Lenna Veum","Salvatore McKenzie",9680691634,9927381899,ST,B+,"Oklahoma","57460 Schulist Mall",423645
27BCS0052,"Margaret Corwin","Tony Haley",9746442557,9514396540,OBC,A+,"North Carolina","4243 Kingsway",692473
27BCS0053,"Tamara Dooley","Andres DuBuque-Gottlieb",9091248472,9417470640,SC,B+,"North Carolina","72697 Brock Loaf",558177
27BCS0054,"Eduardo Donnelly","Bret Bruen III",9215409615,9435406724,SC,O-,"Hawaii","18338 Keeling Fall",277177
27BCS0055,"Mortimer Haley","Dr. Alexander Jones",9165688348,9945195097,EWS,B+,"Maryland","976 Fay Coves",403419
27BCS0056,"Dwayne Vandervort","Jaycee Medhurst",9430272324,9664692945,SC,B+,"Oklahoma","28092 Christina Ports",702001
27BCS0057,"Willard Stiedemann","Maci Zulauf",9446841181,9548501562,GEN,O+,"Tennessee","7103 Vita Creek",013171
27BCS0058,"Augustine Rogahn","Leon Heaney",9570343416,9322654813,GEN,B-,"Louisiana","554 S 2nd Street",148096
27BCS0059,"Kyle Hegmann","Isac Hahn",9810774043,9126602201,EWS,AB-,"Oregon","1703 Omar Shore",783725
27BCS0060,"Rochelle Trantow","Anastacio Stiedemann",9943706168,9731645179,SC,A+,"Connecticut","10895 Sarah Point",694675
27BCS0061,"Mr. Mathew Bailey","Elmer Fahey",9549927037,9639015762,OBC,AB+,"Colorado","6583 Irma Divide",661665
27BCS0062,"Arnulfo Kemmer I","Dr. Ahmed Grant",9498991417,9762830168,EWS,O+,"Maryland","168 Amber Coves",441227
27BCS0063,"Odie Jakubowski","Ed Ryan",9774127623,9151867453,SC,AB-,"Idaho","80437 Reid Landing",620976
27BCS0064,"Grace Morar","Donald Keeling",9649844337,9505370902,GEN,A+,"Utah","9710 The Paddocks",794872
27BCS0065,"Luke Little","Ernest Davis",9892089246,9962436210,ST,AB+,"Idaho","656 Sophia Pine",411274
27BCS0066,"Lizzie Schaefer IV","Pedro Gorczany",9723516486,9276732980,GEN,A-,"Oklahoma","73387 Dianne Cove",861408
27BCS0067,"Erica Beatty","Alexandrine Russel",9341168339,9775833778,EWS,AB+,"Virginia","79719 Eda Bridge",622727
27BCS0068,"Sandy Cummerata","Quinton Schroeder",9241354704,9750072602,SC,B+,"Illinois","395 Langworth Gateway",336040
27BCS0069,"Yvonne Thiel","Ignacio D'Amore",9247168100,9613493008,ST,A-,"Oregon","79692 Adrianna Bridge",129870
27BCS0070,"Otto Lemke","Mr. Aaron Koch",9800431545,9344739211,OBC,AB-,"Maine","332 Terry Brooks",793595
27BCS0071,"Ben Baumbach","Dr. Hubert Watsica",9935105449,9705144950,GEN,A+,"California","1123 Church Lane",102005
27BCS0072,"Hadley Nikolaus","Marlon Bergstrom DDS",9474164406,9614679870,EWS,B+,"Connecticut","17295 Wm Mall",352058
27BCS0073,"Kristie Watsica","Cole Schuster",9955884110,9720675567,ST,B-,"Montana","852 Bailey Rapids",269195
27BCS0074,"Lizeth Beier V","Timothy Vandervort",9197486678,9425591769,GEN,B-,"Nevada","32909 Holly Close",027658
27BCS0075,"Luis Paucek","Osborne Kilback",9996583029,9714803952,SC,O-,"Louisiana","1015 Boyd Mall",561923
27BCS0076,"Gregorio Carter","Jerald Schiller V",9904920713,9220923307,OBC,O-,"Michigan","7107 Fabian Prairie",428702
27BCS0077,"Connie Lockman","Roman Shanahan",9674261587,9024538629,EWS,AB-,"Iowa","7185 Chapel Street",046130
27BCS0078,"Becky Buckridge","Shawn Lynch",9893614107,9491709149,OBC,A+,"Kansas","289 Carmela Route",344749
27BCS0079,"Dale Strosin III","Mr. Ocie Ruecker",9812825690,9752920683,EWS,B+,"Vermont","960 Third Street",420174
27BCS0080,"Sylvester Medhurst","Ramon Runolfsdottir",9517586601,9159505215,OBC,AB+,"Iowa","12445 Reynolds Prairie",554381
27BCS0081,"Edith Becker","Wade Grant",9307479810,9621211099,SC,O-,"Connecticut","4853 Ernest Courts",418549
27BCS0082,"Aaron Quitzon Sr.","Alanis Rempel",9360346438,9278402990,SC,A-,"Indiana","7724 Watery Lane",865027
27BCS0083,"Miss Larissa McLaughlin-Lynch","Charlie Kunze-Marks",9867216398,9633854230,GEN,O+,"Vermont","265 North Avenue",761711
27BCS0084,"Penny Fahey","Willis Johnson",9165526803,9118997202,SC,B+,"Minnesota","72132 Hills Ferry",089582
27BCS0085,"Mr. Brad Gusikowski","Telly Paucek",9676256285,9363171815,SC,A-,"Montana","221 Metz Neck",595843
27BCS0086,"Catharine Hackett","Toby Smitham DDS",9025244190,9940315287,EWS,AB-,"Arizona","584 Rick Gateway",812243
27BCS0087,"Johathan Windler","Darrell Bradtke",9490382954,9618087773,SC,A+,"Arkansas","3787 Zena View",019175
27BCS0088,"Theresia Botsford","Missouri Armstrong-Bins V",9886262121,9364065054,ST,A+,"Alaska","54277 Reanna Curve",356376
27BCS0089,"Naomi Schimmel","Mr. Easton Renner",9606850446,9599167055,GEN,AB-,"South Dakota","8403 Tanya Keys",092051
27BCS0090,"Arturo Miller","Alejandro Dibbert",9708533381,9863085693,EWS,A+,"Iowa","55333 Damon Mews",602072
27BCS0091,"Orrin Howell","Mr. Bart Klein MD",9495375373,9463647054,SC,B+,"Missouri","3574 Bramble Close",907243
27BCS0092,"Dedrick Nader","Clay Cruickshank",9552523017,9238055376,GEN,A+,"Nevada","10059 Jast Lights",036959
27BCS0093,"Caleb Gusikowski","Aaron Jacobs",9165309124,9770757747,OBC,B+,"Virginia","27210 Reyes Circles",327668
27BCS0094,"Lizzie Klocko","Valentin Schuppe",9633313507,9105558398,OBC,AB-,"New Mexico","8918 Marquardt Run",308426
27BCS0095,"Samara Ruecker","Pedro Bergstrom",9265520999,9694551780,SC,AB+,"Arkansas","6487 Doris Islands",503002
27BCS0096,"Gail Simonis","Mr. Charles Green",9549729302,9225813091,OBC,O-,"Washington","3002 16th Street",578008
27BCS0097,"Jimmy Heller","Douglas Franey",9997806287,9158369215,GEN,AB-,"Kentucky","39233 Saul Spur",541950
27BCS0098,"Iris Ernser-Hahn","Mr. Moses Bartell-Kassulke",9468540237,9742198815,OBC,AB+,"Florida","5612 Lori Bridge",689920
27BCS0099,"Glenda Jast","Keith Bruen",9883265071,9055451271,OBC,B-,"New Mexico","358 Champlin Cliff",445084
27BCS0100,"Catherine Hirthe","Michael Ziemann",9713574031,9983785579,SC,B-,"Illinois","171 Elbert Via",053785
27BCS0101,"Kay Lindgren","Andre Parker-Renner",9779060002,9830852575,SC,B-,"Delaware","26608 Moor Lane",855555
27BCS0102,"Roberta Reichel","Duane Lesch",9777454919,9436810128,ST,AB-,"Ohio","5534 Grand Avenue",235674
27BCS0103,"Demond Farrell DVM","Kelsie Reynolds",9035142926,9998942122,ST,AB-,"Washington","352 O'Conner Greens",219372
27BCS0104,"Morris Borer","Mr. Verla Huels",9359290088,9491997731,ST,AB+,"Rhode Island","59990 Streich Park",757042
27BCS0105,"Arnold Franecki","Dr. Earl Jaskolski",9558385247,9292261078,ST,B-,"North Carolina","6182 Skiles Mills",145289
27BCS0106,"Dwight Jacobs","Dr. Leland Howe",9159525468,9353891048,ST,AB+,"Oklahoma","62632 Woodland Road",783373
27BCS0107,"Marilou O'Hara II","Sadye MacGyver-Russel",9462358708,9279002778,SC,A+,"Michigan","664 Bode Tunnel",590637
27BCS0108,"Annie Emard","Sherman Homenick",9339682916,9925011811,GEN,O-,"Kentucky","84640 9th Street",852582
27BCS0109,"Augustine Runolfsson","Lester Hettinger",9607876626,9907607269,ST,AB-,"Maine","676 E Park Avenue",330307
27BCS0110,"Kenton Shanahan","Ashton Rolfson",9872392082,9447030971,EWS,O+,"South Dakota","50635 Bradtke Way",621342
27BCS0111,"Geneva Bergnaum","Wallace Williamson",9929287354,9997444870,GEN,B+,"Virginia","134 Mayert River",091345
27BCS0112,"Margaretta Williamson-Bednar V","Sadye Bins",9159685455,9381945447,GEN,O+,"Indiana","543 Aileen Forges",088497
27BCS0113,"Bryana Purdy","Brett Klein",9336977242,9994187303,EWS,AB+,"New Hampshire","84572 Valley Road",722383
27BCS0114,"Ed Wunsch","Magdalena Zboncak DVM",9288208209,9937234888,GEN,O-,"Oklahoma","82447 Durgan Crossroad",174176
27BCS0115,"Miss Josephine Hilll-Ebert","Dominic Legros",9983289442,9596655970,GEN,B-,"Virginia","76827 Dee Dale",297864
27BCS0116,"Andy Robel","Mr. Aryanna Mills",9263008193,9160887617,GEN,O+,"Utah","9740 Walter Club",255359
27BCS0117,"Charlotte Mohr III","Mr. Trycia Greenfelder",9842293699,9627070729,SC,B-,"Alabama","678 Vandervort Highway",748032
27BCS0118,"Ellis Grimes","Percy Heidenreich",9043752218,9709025301,GEN,O-,"Alaska","7939 Mueller Light",542809
27BCS0119,"Wendy Reynolds","Darin Baumbach",9210245812,9568824049,ST,AB-,"Washington","5734 Bennie Forest",020792
27BCS0120,"Favian Wintheiser","Jerry Stokes",9255572703,9641842700,GEN,O+,"North Dakota","5190 Efren Corner",768655
